word,definition,translation
bell jar cell,,[机] 钟式电池
Bell Laboratory,,[计] 贝尔实验室
bell lyre,,= bell-lyra
bell magpie,, [鸟类]钟鹊
bell manometer,,[机] 浮钟压力计
bell metal," A hard alloy or bronze, consisting usually of about three\n   parts of copper to one of tin; -- used for making bells.",[医] 钟铜(锡铜合金)
bell morel,,[网络] 钟更多
bell mouth,,"[机] 喇叭口, 锥形孔, 锥形底"
bell note,,[医] 金属音
bell of pipe,,[化] 管子承口
bell pepper,," 铃状椒, 甜椒, 柿子椒"
Bell protocols,,[计] 贝尔协议
bell pull,,n. 拉铃索
bell push,,n. 电铃按钮
bell reaction,,[机] 钟罩反应
bell receiver,,[电] 贝尔收话机
bell recorder,,[机] 浮钟计压器
bell ringer,,n. （教堂等的）撞钟人，摇铃人
bell ringing,, 摇铃，鸣钟; [音乐]编钟演奏(术)
bell seat,, (18世纪的)钟形椅
bell shape,, 喇叭皮带线盆
bell slass,,"[医] 玻璃罩, 玻璃钟罩"
bell socket,,[化] 套接; 承插接口
bell sound,,"[医] 钟音, 金属音"
bell ten,,n. 钟形帐篷
bell tent,,钟形帐篷
bell the cat,,为大家的利益承担危险
bell toad,,【动物】真尾蟾(Ascaphus truei)(= tailed frog)
bell tower,,"钟塔, 钟楼"
bell transformer,,[电] 电铃变压器
bell transmitter,,[电] 贝尔发话机
Bell treatment,,[医] 贝耳氏疗法(治癌)
bell tympany,,[医] 钟样鼓响
bell type autoclave press,,[机] 钟式热压锅
bell valve,,[机] 装料钟
bell wire,,[电] 电铃线
Bell' test,,[医] 贝耳氏试验(检胃游离盐酸)
Bell's delirium,,"[医] 贝耳氏谵妄, 急性谵妄"
Bell's disease,,[医] 贝耳氏病(躁狂)
Bell's law,,"[医] 贝耳氏定律(脊髓前根为运动根,后根为感觉根)"
Bell's mania,,[医] 贝耳氏躁狂(急性谵妄)
Bell's method,,[医] 贝耳氏法(检钙)
Bell's muscle,,"[医] 贝耳氏肌, 输尿管括约肌(在膀胱内)"
Bell's muscles,,"[医] 贝耳氏肌, 输尿管括约肌(在膀胱内)"
Bell's nerve,,"[医] 贝耳氏神经, 胸长神经"
Bell's palsy,,"[医] 贝耳氏麻痹, 面神经麻痹, 面瘫"
Bell's paralysis,,[医] 贝耳氏麻痹(面神经麻痹)
Bell's phenomenon,,"[医] 贝耳氏现象(面瘫患者闭眼时,患侧眼球向外、上方转动)"
Bell's sign,,"[医] 贝耳氏征, 贝耳氏现象(见于面神经麻痹)"
Bell's spasm,,"[医] 贝耳氏痉挛, 面肌抽搐"
Bell's suture,,[医] 贝耳氏缝术(手套缝术)
Bell's treatment,,[医] 贝耳氏疗法(治癌)
bell(-jar) cell,,[化] 钟罩式电解槽
Bell-Beuthter operation,,"[医] 贝-博二氏手术, 博伊特讷氏法"
bell-bottom,s (of trousers) having legs that flare at the bottom,"n. 水兵上窄下宽的裤子, 喇叭裤\na. 钟形裤管的"
bell-bottomed,s (of trousers) having legs that flare at the bottom,n. 喇叭裤；水兵裤子
bell-bottoms,plural of bell-bottom\ns (of trousers) having legs that flare at the bottom,"(bell-bottom 的复数) n. 水兵上窄下宽的裤子, 喇叭裤\na. 钟形裤管的"
bell-crowned,,[医] 钟形冠的
bell-curve,,钟形曲线；贝尔曲线
Bell-Dally's dislocation,,[医] 贝-戴二氏脱位(非外伤性寰椎脱位)
bell-jar,,[医] [玻璃]钟罩
bell-jars,plural of bell-jar,(bell-jar 的复数) [医] [玻璃]钟罩
bell-like,,adj. 钟形的；清脆的
bell-like call,,[网络] 钟状电话
bell-metal resonance,,"[医] 钟铜音, 钟铜响(气胸时,置铜钱于胸,以另一铜钱击之所得的音)"
bell-pepper,,灯笼椒；柿子辣
bell-pull,,n. 拉铃带
bell-pulls,plural of bell-pull,(bell-pull 的复数) n. 拉铃带
bell-push,,电铃按钮
bell-pushes,plural of bell-push,(bell-push 的复数) 电铃按钮
bell-ringer,, （教堂的）业余敲钟人
bell-ringers,plural of bell-ringer,(bell-ringer 的复数)  （教堂的）业余敲钟人
bell-ringing,,鸣钟\n摇铃
bell-shaped,s having a convex shape that resembles a bell, 钟形
bell-shaped curve,, [医]钟形曲线
bell-sound,,钟音\n金属音
bell-sounds,plural of bell-sound,(bell-sound 的复数) 钟音\n金属音
bell-tower,,"n. 钟塔, 钟楼"
bell-towers,plural of bell-tower,"(bell-tower 的复数) n. 钟塔, 钟楼"
bell-type low pressure manometer,,"[机] 钟型低压力计, 钟型低压气压计"
bell-wether,,n. 前导；领导者；系铃的公羊；群众的首领
bell-wethers,-s form of bell-wether,(bell-wether 的第三人称 -s形式) n. 前导；领导者；系铃的公羊；群众的首领
bella,,"n. 贝拉（女子名, 等于Arabella, Isabella）"
Bella Coola,,n. 贝拉库拉人(加拿大不列颠哥伦比亚省北美印第安人部落的一分支)；贝拉库拉语(属萨利希语族)
bella figura,,美形主义；漂亮外表
bella sombra,,[网络] 贝拉sombra
bellack,, [人名] 贝拉克
bellacosa,,贝拉科萨花缎(蚕丝与金银线交织的花缎)
belladine,,孤挺花定
belladonna,n. perennial Eurasian herb with reddish bell-shaped flowers and shining black berries; extensively grown in United States; roots and leaves yield atropine\nn. an alkaloidal extract or tincture of the poisonous belladonna plant that is used medicinally,n. 颠茄\n[化] 颠茄(Atropa belladonna)
belladonna leaf,,[化] 颠茄叶
belladonna lily,, 孤挺花
belladonna plant,,[网络] 颠茄植物
belladonna plaster,,[医] 颠茄硬膏
belladonna root,,[化] 颠茄根
belladonnine,,"颠茄宁, 颠茄次碱, 异衍阿托品, 异性脱水颠茄碱"
bellafigura,,"[意] 良好的印象, 优雅的风度"
bellafline,,[医] 颠茄叶素(l-莨菪硷)
bellafoline,,[机] 颠茄叶素
bellagio,,n. 百乐宫（美国酒店名）
bellah,,n. (Bellah)人名；(英、阿拉伯)贝拉
bellaire,,n. (Bellaire)人名；(法)贝莱尔
bellairs,, [人名] 贝莱尔斯
bellam,, [人名] 贝拉姆
bellamy,,n. 贝拉米（人名）
bellamys,,20世纪70年代英国流行电视系列片《楼上楼下》中的主人公一家
bellan,,n. (Bellan)人名；(法)贝朗；(意)贝兰
bellanca,,n. (Bellanca)人名；(英、意)贝兰卡
bellante,, [地名] [意大利] 贝兰泰
bellaradine,,[机] 颠茄定
bellard,,n. (Bellard)人名；(葡)贝拉德；(法)贝拉尔；(西)贝利亚德
bellarmine,,n. 贝拉明酒瓶\nn. (Bellarmine)人名；(意)贝拉尔米内
Bellarmino,,[网络] 拉民；拉明；贝拉明
bellas,,n. (Bellas)人名；(法)贝拉；(英)贝拉斯；(西)贝利亚斯
bellatrix,,n. 参宿五（位于猎户座）
bellay,,贝莱（男子名）
bellbine,,篱天剑
bellbird,n any of several tropical American birds of the genus Procnias having a bell-like call,n. 铃鸟
bellbirds,plural of bellbird\nn any of several tropical American birds of the genus Procnias having a bell-like call,(bellbird 的复数) n.铃鸟
bellbottom,,[网络] 喇叭裤脚
bellbottom pants,,[网络] 钟底裤
bellbottom trousers,,[网络] 钟底裤
bellbottoms,,n. 喇叭裤
bellboy,n. someone employed as an errand boy and luggage carrier around hotels,n. 侍者
bellboys,n. someone employed as an errand boy and luggage carrier around hotels,n. （旅馆里为客人搬运行李到房间里的）男侍者( bellboy的复数形式 )
bellbrook,, [地名] [澳大利亚] 贝尔布鲁克
bellcore,,贝尔通信研究所
bellcrank,,曲拐
belle,n. a young woman who is the most charming and beautiful of several rivals,n. 美女
belle de nuit,,[网络] 贝尔德
belle epoque,,n. <法>（第一次世界大战前的）美好时期
Belle Fourche,,n. 贝尔富什 (南达科他州)
belle indifference,,[医] 快意淡漠
Belle Isle cress,,[网络] 百丽岛水芹
belle laide,,[复数] belles laides ／'bel'leid／ [法语]别具魅力的丑陋女人
belleau,,n. (Belleau)人名；(法)贝洛
Belleau Wood,,n. 贝洛森林（法国巴黎东边的小森林）
bellecourt,, [地名] [美国] 贝勒库尔
belled,v attach a bell to,"[机] 套接的, 钟形口的"
Belleek,,n. [总称]伯利克陶器皿(一种上有珠光彩釉的薄陶瓷)
bellefontaine,,n. (Bellefontaine)人名；(法)贝勒方丹
bellefonte,, [地名] [美国] 贝尔丰特
bellegarde,,n. (Bellegarde)人名；(德、法)贝勒加德
bellemare,,n. (Bellemare)人名；(法)贝勒马尔
bellen,,vi. （德语）犬吠；剧烈咳嗽
bellend,, 扩大端
bellends,plural of bellend,(bellend 的复数)  扩大端
beller,,贝尔(女子名)[Bella 的异体]
bellerby,, [人名] 贝勒比
bellerbys,plural of bellerby,(bellerby 的复数)  [人名] 贝勒比
belleric,,红果榄仁果
bellerive,,n. (Bellerive)人名；(法)贝勒里夫
bellerophon,n. (Greek mythology) a mythical hero of Corinth who performed miracles on the winged horse Pegasus (especially killing the monster Chimera),n. 柏勒罗丰（科林斯英雄）；神螺属
bellerose,,n. (Bellerose)人名；(法)贝勒罗斯
belles,n. a young woman who is the most charming and beautiful of several rivals\nv. attach a bell to,n. 美女( belle的复数形式 ); 最美的美女
belles lettres,,n. 〈外〉美文学；纯文艺\n[网络] 纯文学；纯文学派；是纯文学的意思
belles-lettres,n. creative writing valued for esthetic content,n. 纯文学
belleter,,铸钟人
belletrism,,n. 纯文学至上主义
belletrist,,n. 纯文学作品作者
belletristic,s. written and regarded for aesthetic value rather than content,"a. 纯文学风格的, 纯文学的"
belleview,, [地名] [美国] 贝尔维尤
belleville,,n. 酸模（一种食用植物）
bellevue,, 贝尔维尤
bellew,, [人名] [英格兰人姓氏] 贝柳住所名称，来源于古法语，含义是“可爱的+水”(lovely+water)
belley,,n. (Belley)人名；(法)贝莱
belleza,, [人名] 贝莱扎
bellezza,, [人名] 贝莱扎
Bellfast,,[计] 快贝尔
Bellflame,,[日]贝尔弗菜姆(一种阻燃性粘胶纤维)
bellflower,n any of various plants of the genus Campanula having blue or white bell-shaped flowers,n. 风铃草
bellflower family,,【植物】桔梗科(campanulaceae)
bellflowers,plural of bellflower\nn any of various plants of the genus Campanula having blue or white bell-shaped flowers,(bellflower 的复数) n. 风铃草
bellhanger,,n. 装钟匠
bellhop,n someone employed as an errand boy and luggage carrier around hotels,"n. 旅馆侍者, 旅馆服务员（等于bellboy）"
bellhops,n. someone employed as an errand boy and luggage carrier around hotels,"n. 旅馆侍者, 旅馆服务员（等于bellboy）"
bellhouse,, 钟楼
belli,,贝利（人名）
bellicism,,"[法] 好战性, 好战倾向"
bellicose,s having or showing a ready disposition to fight,"a. 好战的, 好斗的\n[法] 好战的"
bellicose element,,[法] 好战分子
bellicosely,adv. In a bellicose manner.,adv. bellicose的变形
bellicoseness,,n. bellicose的变形
bellicosity,n. a natural disposition to fight,"[法] 好战, 好斗"
bellied,a. having a belly; often used in combination\ns. curving outward,"a. 有腹的, 鼓起的"
Bellier's test,,[化] 伯利埃试验(用以检验花生油的存在)
bellies,pl.  of Belly,n. 肚子( belly的名词复数 ); 腹部; （物体的）圆形或凸起部份; 腹部…形的
belligerence,n. hostile or warlike attitude or nature,"n. 交战, 好战性, 斗争性"
belligerency,n hostile or warlike attitude or nature\nn fighting; acts of overt warfare,"n. 交战状态\n[法] 交战, 交战状态, 交战国的地位"
belligerent,s. engaged in war,"a. 好战的, 交战的, 交战国的\n[法] 交战一方, 交战国, 交战集团"
belligerent community,,[法] 交战团体
belligerent party,,[法] 交战一方
belligerent state,,[法] 交战国
belligerently,r. with hostility; in a belligerent hostile manner,adv. 好战地；好斗地
belligerents,n. someone who fights (or is fighting),n. 交战的一方（指国家、集团或个人）( belligerent的复数形式 )
bellin,,n. (Bellin)人名；(德、俄、意)贝林
belling,n a noisy mock serenade (made by banging pans and kettles) to a newly married couple\nv attach a bell to,"动物的吼叫, 扩成喇叭形的"
Belling saccharimeter,,[化] 贝林糖量计
Belling's stain,,[医] 贝林氏染剂(含铁盐的乙酰卡红液)
bellinger,comparative of belling\nn a noisy mock serenade (made by banging pans and kettles) to a newly married couple\nv attach a bell to,"(belling 的比较级) 动物的吼叫, 扩成喇叭形的"
bellingerite,,水碘铜矿
Bellingham,n. a town in northwestern Washington on a bay near the Canadian border,"n. 贝灵翰姆（地名, 位于美国华盛顿州北部）"
bellingrath,, [人名] 贝林格拉思
bellings,n. a noisy mock serenade (made by banging pans and kettles) to a newly married couple\nv. attach a bell to,毛麻呢
Bellingshausen,,Sea别林斯高晋海
Bellingshausen Sea,,别林斯高晋海(南极洲南太平洋的一大海湾)
Bellini,n. Italian composer of operas (1801-1835),n. 贝里尼（饮料名）
Bellini's ducts,,"[医] 贝利尼氏管, 乳头管"
Bellini's fistula,,[医] 肾直小管
Bellini's ligament,,"[医] 贝利尼氏韧带, 髂转子韧带"
Bellini's tubes,,[医] 肾小管
Bellini-Tosi direction finder,,[电] 白利尼-托锡方向探测器
bellinis,,n. 贝里尼（饮料名）
Bellinl's ducts,,[医] 肾直小管
Bellinl's ligament,,[医] 贝利尼氏韧带(髂转子韧带)
bellino,, [人名] 贝利诺
Bellinzona,,n. (Bellinzona)人名；(意)贝林佐纳
bellipotent,p. pr. Mighty in war; armipotent.,a. 战力强大的
Bellis,n. daisy,n. (Bellis)人名；(英)贝利斯；(法)贝利
Bellis perennis,,雏菊
bellisario,,n. (Bellisario)人名；(意)贝利萨里奥
bellissimo,,n. (Bellissimo)人名；(意)贝利西莫
bellite,,铬砷铅矿
bellm,, [人名] 贝尔姆
bellman,n someone employed as an errand boy and luggage carrier around hotels,"n. 敲钟者, 男听差, 更夫"
bellmen,,"敲钟人, 传达员, 更夫( bellman的名词复数 )"
Bellmer bleacher,,[化] 贝尔默漂白机
Bellmer engine,,[化] 贝尔默机; 贝尔默漂白机
bellmont,, [人名] 贝尔蒙特
bellmore,,n. (Bellmore)人名；(英)贝尔莫尔
bellmouth,,"承口, 钟形口"
bellmouthed,,"a. 钟口形的,漏斗口的,承口的"
bello,,n. 贝罗（姓氏）
Belloc,n. English author (born in France) remembered especially for his verse for children (1870-1953),"贝洛克 (Hilaire, 1870-1953, 出生于法国的英国评论家, 诗人)"
bellocq,, [地名] [法国] 贝洛克
Bellocq's cannula,,[医] 贝洛克氏套管(塞后鼻孔的套管)
Bellocq's sound,,[医] 贝洛克氏套管(用以塞后鼻孔的套管)
Bellocq's tube,,[医] 贝洛克氏套管(塞后鼻孔套管)
bellomo,,n. (Bellomo)人名；(意)贝洛莫
Bellona,n. The goddess of war.,n. 贝娄娜(罗马神话中的女战神)
bellond,,牲畜铅中毒
bellori,,n. (Bellori)人名；(意)贝洛里
bellos,,贝约(哥伦比亚中部城市)
Belloste's pill,,[医] 伯洛斯特氏丸(含汞、白蜂密、芦荟、黑胡椒、大黄、司格蒙脂)
Belloste's solution,,[医] 伯洛斯特氏溶液(硝酸低汞溶液)
Bellot,,月球表面第四象限内坑名
bellotti,, [人名] 贝洛蒂
bellow,"n. a very loud utterance (like the sound of an animal)\nn. United States author (born in Canada) whose novels influenced American literature after World War II (1915-2005)\nv. make a loud noise, as of animal",v. 怒吼
